City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sachin,IN,82.4,haze,21.08,72.88,Hotel Ashish
5,Lishui,CN,71.04,broken clouds,28.46,119.91,Bayi Hotel
6,Souillac,MU,73.4,shower rain,-20.52,57.52,Bils' Villa
8,Cabo San Lucas,MX,73.99,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
9,Atlantic Beach,US,71.6,broken clouds,30.33,-81.4,One Ocean Resort & Spa
12,Busselton,AU,70.0,scattered clouds,-33.65,115.33,Observatory Guest House
13,Kavieng,PG,84.63,scattered clouds,-2.57,150.8,Nusa Island Retreat
16,Bambous Virieux,MU,77.0,shower rain,-20.34,57.76,Casa Tia Villa
23,Vaini,TO,82.4,few clouds,-21.2,-175.2,Keleti Beach Resort
24,Rikitea,PF,75.61,few clouds,-23.12,-134.97,Pension Maro'i
25,Ndele,CF,68.61,clear sky,8.41,20.65,
28,Atuona,PF,77.54,scattered clouds,-9.8,-139.03,Villa Enata
29,Axim,GH,77.92,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
30,Thinadhoo,MV,82.45,light rain,0.53,72.93,
35,Airai,TL,82.42,clear sky,-8.93,125.41,Juvinal Martin
36,Almenara,BR,69.84,overcast clouds,-16.18,-40.69,Pousada Sol Nascente 1
38,Faanui,PF,80.17,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
42,Hobart,AU,69.01,scattered clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
44,Pokhara,NP,73.63,clear sky,28.23,83.98,Hotel View Point
45,Port Alfred,ZA,67.57,clear sky,-33.59,26.89,The Halyards Hotel
48,Kaitangata,NZ,68.95,light rain,-46.28,169.85,Kaitangata Motor Camp
50,Naze,JP,80.6,few clouds,28.37,129.48,奄美ポートタワーホテル
52,Lagoa,PT,65.8,overcast clouds,39.05,-27.98,Casa Das Faias
53,Bata,GQ,77.0,scattered clouds,1.86,9.77,Hotel Carmen
58,Saint-Philippe,RE,78.8,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
59,Kailua,US,78.8,overcast clouds,21.4,-157.74,Sheffield House Bed & Breakfast
64,Soure,BR,81.03,broken clouds,-0.72,-48.52,Hotel Marajó
66,New Norfolk,AU,69.01,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
67,Geraldton,AU,71.6,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
71,Cap Malheureux,MU,77.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
