City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Isangel,VU,-19.55,169.27,74.52,82,14,9.48,few clouds
1,Mitsamiouli,KM,-11.38,43.28,79.02,73,2,4.74,clear sky
2,Lavrentiya,RU,65.58,-171.0,19.72,88,40,7.94,scattered clouds
3,Bredasdorp,ZA,-34.53,20.04,62.6,59,48,6.93,scattered clouds
4,Puerto Ayora,EC,-0.74,-90.35,77.0,73,40,9.17,scattered clouds
5,Albany,US,42.6,-73.97,46.0,59,83,3.0,broken clouds
6,New Norfolk,AU,-42.78,147.06,55.0,91,64,1.1,light rain
7,Hobart,AU,-42.88,147.33,55.4,93,90,8.05,moderate rain
8,Busselton,AU,-33.65,115.33,48.99,96,26,5.99,scattered clouds
9,Hasaki,JP,35.73,140.83,51.8,81,75,1.12,broken clouds
10,Port Elizabeth,ZA,-33.92,25.57,64.4,82,90,10.29,overcast clouds
11,Makakilo City,US,21.35,-158.09,71.6,83,1,3.36,clear sky
12,Mahebourg,MU,-20.41,57.7,73.4,64,75,10.29,broken clouds
13,Kieta,PG,-6.22,155.63,79.36,77,97,6.17,moderate rain
14,Nouadhibou,MR,20.93,-17.03,80.6,39,100,9.17,overcast clouds
15,Payakumbuh,ID,-0.22,100.63,71.78,90,100,1.54,overcast clouds
16,Lewiston,US,44.1,-70.21,42.8,48,1,9.17,clear sky
17,Kapaa,US,22.08,-159.32,71.6,94,75,4.7,broken clouds
18,Upernavik,GL,72.79,-56.15,18.48,78,100,18.63,overcast clouds
19,Eruwa,NG,7.53,3.42,89.6,59,40,8.05,scattered clouds
20,Saint George,US,37.1,-113.58,42.8,38,1,2.8,clear sky
21,Mazagao,BR,-0.12,-51.29,93.2,59,40,17.22,scattered clouds
22,Airai,TL,-8.93,125.41,61.07,90,47,2.01,scattered clouds
23,Kiruna,SE,67.86,20.23,35.6,93,99,17.22,overcast clouds
24,Hermanus,ZA,-34.42,19.23,61.0,69,10,9.06,clear sky
25,Victoria,HK,22.29,114.16,73.0,78,90,10.2,overcast clouds
26,Honiara,SB,-9.43,159.95,79.45,79,36,3.98,scattered clouds
27,Esperance,AU,-33.87,121.9,50.0,100,11,5.82,few clouds
28,Saskylakh,RU,71.92,114.08,-1.44,92,80,6.33,broken clouds
29,Yeniseysk,RU,58.45,92.17,10.53,95,1,1.19,clear sky
30,Troitskoye,RU,52.98,84.68,29.01,88,100,7.54,overcast clouds
31,Faanui,PF,-16.48,-151.75,79.63,78,15,10.69,few clouds
32,Akureyri,IS,65.68,-18.09,32.0,95,90,6.93,overcast clouds
33,Vaini,TO,-21.2,-175.2,71.6,94,20,8.5,mist
34,Zhireken,RU,52.82,117.31,12.4,91,0,2.15,clear sky
35,Atuona,PF,-9.8,-139.03,77.97,71,17,16.64,few clouds
36,Georgetown,MY,5.41,100.34,78.8,94,20,3.36,few clouds
37,Kodiak,US,57.79,-152.41,33.8,69,20,13.87,few clouds
38,Port Alfred,ZA,-33.59,26.89,65.48,86,100,9.44,light rain
39,Srednekolymsk,RU,67.45,153.68,-13.0,89,100,9.75,light snow
40,Ostrovnoy,RU,68.05,39.51,31.8,95,49,29.82,scattered clouds
41,Punta Arenas,CL,-53.15,-70.92,55.4,28,0,33.33,clear sky
42,Lebu,CL,-37.62,-73.65,57.25,62,0,19.62,clear sky
43,Burgos,ES,42.34,-3.71,57.2,87,75,14.99,broken clouds
44,Nikolskoye,RU,59.7,30.79,32.0,94,90,6.71,overcast clouds
45,Marsh Harbour,BS,26.54,-77.06,80.08,73,1,8.16,clear sky
46,Barrow,US,71.29,-156.79,21.2,73,90,10.29,light snow
47,Laguna,US,38.42,-121.42,55.99,87,1,4.7,clear sky
48,Ushuaia,AR,-54.8,-68.3,51.8,32,75,34.45,broken clouds
49,Nova Gradiska,HR,45.26,17.38,48.2,93,41,2.24,mist
50,Chuy,UY,-33.7,-53.46,73.71,62,100,13.65,overcast clouds
51,Chunskiy,RU,56.08,99.63,16.32,96,0,2.46,clear sky
52,Oromocto,CA,45.84,-66.48,37.99,44,1,3.36,clear sky
53,Chepareria,KE,1.31,35.2,64.72,67,98,4.59,overcast clouds
54,Korla,CN,41.76,86.15,39.99,82,100,11.99,overcast clouds
55,Mount Gambier,AU,-37.83,140.77,59.0,77,75,18.34,broken clouds
56,Evensk,RU,61.95,159.23,23.7,97,99,10.51,light snow
57,Hilo,US,19.73,-155.09,71.6,73,90,8.05,overcast clouds
58,Saint-Pierre,RE,-21.34,55.48,73.4,53,75,11.41,broken clouds
59,Jamestown,US,42.1,-79.24,51.01,100,90,27.51,light rain
60,Tuktoyaktuk,CA,69.45,-133.04,12.2,85,90,21.92,light snow
61,Rikitea,PF,-23.12,-134.97,75.65,80,94,9.66,light rain
62,Tadine,NC,-21.55,167.88,73.45,81,35,8.84,scattered clouds
63,Dudinka,RU,69.41,86.18,10.4,92,75,8.95,snow
64,Quesnel,CA,53.0,-122.5,32.0,87,90,8.05,overcast clouds
65,Tecoanapa,MX,16.52,-98.75,84.97,64,0,7.49,clear sky
66,Cape Town,ZA,-33.93,18.42,64.0,63,20,19.46,few clouds
67,Ancud,CL,-41.87,-73.82,59.0,54,20,9.17,few clouds
68,Cabimas,VE,10.39,-71.44,81.79,76,100,2.17,overcast clouds
