City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Isangel,VU,74.52,few clouds,-19.55,169.27,Volcano Sea View Tree House
1,Mitsamiouli,KM,79.02,clear sky,-11.38,43.28,Foyer ADM
3,Bredasdorp,ZA,62.6,scattered clouds,-34.53,20.04,Bredasdorp Country Manor
4,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
10,Port Elizabeth,ZA,64.4,overcast clouds,-33.92,25.57,39 On Nile Guest House
11,Makakilo City,US,71.6,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
12,Mahebourg,MU,73.4,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
13,Kieta,PG,79.36,moderate rain,-6.22,155.63,
15,Payakumbuh,ID,71.78,overcast clouds,-0.22,100.63,OYO 3114 Homestay Dalimo
17,Kapaa,US,71.6,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
22,Airai,TL,61.07,scattered clouds,-8.93,125.41,Juvinal Martin
24,Hermanus,ZA,61.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
25,Victoria,HK,73.0,overcast clouds,22.29,114.16,Mini Hotel Central
26,Honiara,SB,79.45,scattered clouds,-9.43,159.95,Heritage Park Hotel
31,Faanui,PF,79.63,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
33,Vaini,TO,71.6,mist,-21.2,-175.2,Keleti Beach Resort
35,Atuona,PF,77.97,few clouds,-9.8,-139.03,Villa Enata
36,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
38,Port Alfred,ZA,65.48,light rain,-33.59,26.89,The Halyards Hotel
50,Chuy,UY,73.71,overcast clouds,-33.7,-53.46,Nuevo Hotel Plaza
53,Chepareria,KE,64.72,overcast clouds,1.31,35.2,Hamza Lodge
57,Hilo,US,71.6,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
58,Saint-Pierre,RE,73.4,broken clouds,-21.34,55.48,Lindsey Hôtel
61,Rikitea,PF,75.65,light rain,-23.12,-134.97,Pension Maro'i
62,Tadine,NC,73.45,scattered clouds,-21.55,167.88,
66,Cape Town,ZA,64.0,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
69,Mar Del Plata,AR,60.8,broken clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
71,Inhambane,MZ,75.2,scattered clouds,-23.86,35.38,Oceano
75,Kruisfontein,ZA,63.0,overcast clouds,-34.0,24.73,Oyster Bay House Rental
77,Kushima,JP,62.01,few clouds,31.46,131.23,Hanaoka
81,Russell,US,77.0,broken clouds,32.35,-85.2,Macs
83,Terenos,BR,69.8,thunderstorm,-20.44,-54.86,QUINTAS IN CASA
86,Ribeira Grande,PT,66.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
87,Nalut,LY,61.21,overcast clouds,30.33,10.85,
88,Cidreira,BR,79.75,overcast clouds,-30.18,-50.21,Hotel Castelo
93,Algeciras,ES,68.0,clear sky,36.13,-5.45,AC Hotel by Marriott Algeciras
95,Flinders,AU,72.0,scattered clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
98,Suzhou,CN,61.0,few clouds,31.31,120.62,Holiday Inn Jasmine Suzhou
101,Constitucion,CL,62.91,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
103,Avarua,CK,77.0,light rain,-21.21,-159.78,Paradise Inn
106,Bambous Virieux,MU,73.4,broken clouds,-20.34,57.76,Casa Tia Villa
112,Naze,JP,68.0,scattered clouds,28.37,129.48,奄美ポートタワーホテル
115,Asosa,ET,68.36,clear sky,10.07,34.53,Blendana Hotel Assosa
116,Ranong,TH,75.4,broken clouds,9.97,98.63,Tinidee Hotel@Ranong
121,Ponta Do Sol,PT,69.8,broken clouds,32.67,-17.1,Hotel do Campo
122,Bandarbeyla,SO,77.0,few clouds,9.49,50.81,REER XOOSHLE GROUP
125,Kumluca,TR,64.4,clear sky,36.37,30.29,TurkuazKöy
128,Nchelenge,ZM,68.92,overcast clouds,-9.35,28.73,Mweru Water Transport
130,Sur,OM,73.22,scattered clouds,22.57,59.53,Sur Plaza Hotel
132,Odweyne,SO,69.71,clear sky,9.41,45.06,Eng Hiirey House
134,Camabatela,AO,64.85,light rain,-8.19,15.38,Pensão E Restaurantes
137,Uige,AO,69.26,light rain,-7.61,15.06,Juliao Pereira
141,Bambanglipuro,ID,78.94,overcast clouds,-7.95,110.28,Puri Brata
148,Sumbe,AO,77.81,scattered clouds,-11.21,13.84,Hotel Ritz Sumbe
152,Waddan,LY,65.98,broken clouds,29.16,16.14,محل الشريف محمد العايب
153,Ondjiva,AO,78.8,light rain,-17.07,15.73,SOS Motel
157,Tura,IN,66.24,clear sky,25.52,90.22,Hotel RIKMAN Continental
161,Awjilah,LY,61.93,clear sky,29.11,21.29,
162,Karratha,AU,74.48,clear sky,-20.74,116.85,ibis Styles Karratha
165,Tank,PK,60.58,clear sky,32.22,70.38,Gula Jan Abdulai
167,Fortuna,US,60.01,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
182,Acari,PE,78.01,broken clouds,-15.43,-74.62,Hospedaje Ximens
183,Ndjole,GA,76.66,light rain,-0.18,10.76,Motel Kedyann
185,Vila Franca Do Campo,PT,64.4,broken clouds,37.72,-25.43,Pestana Bahia Praia
187,Wewak,PG,79.59,light rain,-3.55,143.63,In Wewak Boutique Hotel
188,San Patricio,US,77.0,clear sky,28.02,-97.52,"Motel 6 Sinton, TX"
190,Tezu,IN,67.78,clear sky,27.92,96.17,Circuit House
191,Kumbhraj,IN,75.7,broken clouds,24.37,77.05,राधेश्याम केवट
193,Marawi,PH,77.0,overcast clouds,8.0,124.29,Derogongan Residence
196,Saint-Philippe,RE,73.4,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
198,Tocopilla,CL,66.99,few clouds,-22.09,-70.2,Hotel Galvarino
199,Manokwari,ID,79.68,broken clouds,-0.87,134.08,Swiss Belhotel Manokwari
202,Suluq,LY,64.69,scattered clouds,31.67,20.25,ورشة الحضيري لاكترونات وخدمات النت
203,Kailua,US,75.0,few clouds,21.4,-157.74,Sheffield House Bed & Breakfast
208,Villazon,BO,73.08,clear sky,-22.09,-65.59,La Candelaria
210,Eureka,US,60.01,overcast clouds,40.8,-124.16,Eureka Inn Trademark By Wyndham
211,Forrest City,US,60.8,clear sky,35.01,-90.79,Hampton Inn Forrest City
213,Guerrero Negro,MX,75.16,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
215,Half Moon Bay,US,60.8,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
219,East London,ZA,66.2,few clouds,-33.02,27.91,Tu Casa
222,Melo,UY,78.17,light rain,-32.37,-54.18,Hotel Juana
225,Abu Zabad,SD,77.29,clear sky,12.35,29.25,محي الدين نوري
226,Los Llanos De Aridane,ES,77.0,few clouds,28.66,-17.92,Valle Aridane
229,Pafos,CY,60.8,few clouds,34.77,32.42,Elysium Hotel
230,Lompoc,US,62.6,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
232,Quelimane,MZ,77.0,clear sky,-17.88,36.89,Hotel Flamingo
233,Sunland Park,US,62.01,clear sky,31.8,-106.58,SpringHill Suites by Marriott El Paso
235,Katsuura,JP,66.99,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
236,Calabar,NG,77.76,overcast clouds,4.95,8.32,NAKS Hotels (Formerly NAF Club)
242,Kilimatinde,TZ,75.74,light rain,-5.85,34.95,
247,Port Blair,IN,79.9,scattered clouds,11.67,92.75,Fortune Resort Bay Island
250,Jalu,LY,63.52,clear sky,29.03,21.55,Jalu Hotel
251,Lagoa,PT,62.73,clear sky,39.05,-27.98,Casa Das Faias
257,Hurghada,EG,75.2,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
258,Opelousas,US,70.0,scattered clouds,30.53,-92.08,Holiday Inn & Suites Opelousas
265,Poum,NC,76.71,clear sky,-20.23,164.02,Gîte kajeon
268,Mackay,AU,72.0,scattered clouds,-21.15,149.2,International Lodge Motel
269,Xinan,CN,63.99,scattered clouds,26.72,119.86,昌雄大酒店
276,Ambilobe,MG,75.69,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
277,Faya,SA,62.6,clear sky,18.39,42.45,مقبرة ال مجمل
281,Show Low,US,60.01,clear sky,34.25,-110.03,Hampton Inn & Suites Show Low-Pinetop
282,Soyo,AO,78.53,broken clouds,-6.13,12.37,Hotel Mpampa
283,Tanout,NE,79.23,few clouds,14.97,8.89,
285,Vila Velha,BR,75.2,broken clouds,-20.33,-40.29,Hotel Vitória Palace
288,Palembang,ID,76.24,broken clouds,-2.92,104.75,ASTON Palembang Hotel & Conference Center
292,Carnarvon,AU,66.2,clear sky,-24.87,113.63,Hospitality Carnarvon
293,Pisco,PE,69.8,few clouds,-13.7,-76.22,Hostal San Isidro Oficial
299,Mbanza-Ngungu,CD,72.68,moderate rain,-5.25,14.87,Hotel Full Business
303,Port Moresby,PG,75.2,few clouds,-9.44,147.18,Lamana Hotel
310,Bojonegoro,ID,78.53,overcast clouds,-7.15,111.88,Dewarna Hotel & Convention
311,Bang Saphan,TH,77.0,broken clouds,11.21,99.51,Ladawan Boutique Hotel
313,Contai,IN,73.71,clear sky,21.78,87.75,Hotel Hindusthan
317,Srandakan,ID,79.0,overcast clouds,-7.94,110.25,Puri Brata
318,Gat,IL,60.01,few clouds,31.61,34.76,OlusHome
319,Hambantota,LK,79.77,light rain,6.12,81.12,Bungalow 63
320,Fukue,JP,68.72,scattered clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
321,Padang,ID,78.26,light rain,-0.95,100.35,Mercure Padang
322,Sterling,US,63.0,overcast clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
323,Buraydah,SA,78.8,scattered clouds,26.33,43.98,Mövenpick Hotel Qassim
329,Birao,CF,77.2,scattered clouds,10.28,22.79,
330,La Palma,US,75.0,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
331,Port Said,EG,68.0,scattered clouds,31.26,32.28,Aracan Hotel
332,Kamina,CD,67.59,overcast clouds,-8.74,24.99,Guest House la Grace
335,Kawalu,ID,73.87,overcast clouds,-7.38,108.21,KOSAN UNGU UNSIK
337,Chinsali,ZM,66.25,moderate rain,-10.54,32.08,Mwiluzi Motel Chinsali Ltd
338,Kerema,PG,77.95,overcast clouds,-7.96,145.78,Frena Lodge
340,Kununurra,AU,78.8,overcast clouds,-15.77,128.73,Hotel Kununurra
342,Asuncion,PY,75.2,broken clouds,-25.3,-57.64,Crowne Plaza Asuncion
352,Baringo,KE,76.06,overcast clouds,0.47,35.97,Jericho Lodging
354,Souillac,MU,73.4,broken clouds,-20.52,57.52,Bils' Villa
361,Cristalina,BR,77.79,overcast clouds,-16.77,-47.61,HOTEL TOPAZIO
364,Lima,PE,71.6,scattered clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
369,Rocha,UY,70.48,light rain,-34.48,-54.33,Beleza Pura B&B
370,Comodoro Rivadavia,AR,78.8,clear sky,-45.87,-67.5,Austral Hotel
371,Tigzirt,DZ,64.38,scattered clouds,36.89,4.12,Bloc D tazoumbirt (amar)
377,Diu,IN,77.9,clear sky,20.71,70.98,Hotel Relax Inn
379,Hirara,JP,76.24,light rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
383,Tiznit,MA,77.49,broken clouds,29.58,-9.5,
386,Saldanha,ZA,62.6,clear sky,-33.01,17.94,Blue Bay Lodge
395,Beboto,TD,77.63,overcast clouds,8.27,16.94,
396,Sri Aman,MY,75.2,broken clouds,1.24,111.46,Seri Simanggang Hotel
